,20243,19208
income,0,0
age,42,19
education,9,9
sex,0,0
hours-per-week,50,15
workclass_Federal-gov,0,0
workclass_Local-gov,0,0
workclass_Private,1,1
workclass_Self-emp-inc,0,0
workclass_Self-emp-not-inc,0,0
workclass_State-gov,0,0
workclass_Without-pay,0,0
marital-status_Married,0,0
marital-status_NotMarried,0,1
marital-status_Separated,1,0
marital-status_Widowed,0,0
occupation_Adm-clerical,0,0
occupation_Armed-Forces,0,0
occupation_Craft-repair,0,0
occupation_Exec-managerial,0,0
occupation_Farming-fishing,0,0
occupation_Handlers-cleaners,0,0
occupation_Machine-op-inspct,0,0
occupation_Other-service,0,1
occupation_Priv-house-serv,0,0
occupation_Prof-specialty,0,0
occupation_Protective-serv,0,0
occupation_Sales,0,0
occupation_Tech-support,0,0
occupation_Transport-moving,1,0
relationship_Husband,0,0
relationship_Not-in-family,1,0
relationship_Other-relative,0,0
relationship_Own-child,0,1
relationship_Unmarried,0,0
relationship_Wife,0,0
race_Amer-Indian-Eskimo,0,0
race_Asian-Pac-Islander,0,0
race_Black,0,0
race_Other,0,0
race_White,1,1
